word,count
電動車,2176
汽車,979
特斯拉,864
充電,857
電池,745
台灣,659
市場,645
品牌,563
電車,546
原文,506
問題,472
Model,455
心得,436
電動,419
車主,414
駕駛,410
公里,410
美國,384
車輛,381
使用,372
系統,368
中國,360
車款,359
車型,353
純電,342
集團,330
現在,326
推出,322
銷售,322
設計,322
油車,312
公司,310
車廠,304
說明,300
未來,300
里程,293
技術,293
豐田,290
動力,288
價格,282
提供,276
生產,274
需要,262
EV,257
成本,255
今年,252
BMW,250
全球,233
引擎,230
歐洲,229
續航,223
Toyota,220
能源,216
預計,216
馬達,208
交車,208
原廠,205
加速,200
萬元,193
售價,193
消費者,192
看到,192
成為,186
超過,185
萬輛,184
產品,183
車子,183
日本,183
去年,183
馬力,183
之後,179
Tesla,177
直接,176
全新,172
功能,172
德國,171
銷量,170
休旅,168
進行,166
政府,163
車系,161
平台,161
影響,160
主要,160
空間,160
開發,160
自動,159
完全,159
採用,157
行駛,156
發展,154
選擇,152
合作,152
表現,151
擁有,150
傳統,150
正式,148
需求,148
網址,148
希望,145
最大,144
不用,143
內裝,142
發表,142
新聞,141
裕隆,141
福斯,139
無法,139
鴻海,138
軟體,138
油電,134
上市,134
安全,134
工廠,134
左右,133
輔助,132
持續,131
計畫,131
科技,131
數據,130
國內,129
目標,126
包括,126
新車,125
模式,125
情況,124
Audi,124
配備,124
透過,124
測試,124
業務,123
版本,123
服務,121
bZX,120
感覺,120
導入,120
考慮,120
打造,119
重要,119
SUV,118
原因,117
顯示,116
規格,116
發現,116
台車,115
高速,115
更多,113
達到,112
kWh,112
意見,111
影片,111
增加,111
製造,111
Opel,110
燃油車,109
旗下,109
現代,109
一台,108
方面,107
搭載,107
成長,107
停車場,107
國家,106
宣布,106
則是,105
好像,105
輸出,105
實際,105
性能,104
Ford,104
包含,104
出現,103
小時,102
美元,102
方式,102
狀況,101
消息,101
活動,100
電力,99
車位,99
福特,99
外觀,99
世界,98
標點符號,98
螢幕,98
超充,97
配置,97
同樣,97
研究,96
東西,96
豪華,96
官方,95
休旅車,95
改款,94
續航力,94
Nissan,94
完成,94
購買,93
獲得,92
能夠,92
便宜,92
充電站,91
導致,91
機會,91
產業,90
將會,90
解決,90
開車,90
快充,90
降低,89
賓士,89
地方,89
年度,89
晶片,89
資訊,88
英國,88
公布,88
Honda,87
Kia,87
降價,87
車身,87
製造商,86
系列,86
保時捷,85
訂單,85
繼續,85
公路,85
尚未,84
速度,84
喜歡,83
分鐘,83
北美,83
時代,83
一年,83
扭力,83
廠商,83
過去,82
XC,82
mm,82
不錯,82
Volvo,81
最近,81
能力,81
煞車,81
油電車,81
本田,80
平均,80
報名,80
進入,79
媒體,79
底盤,79
燃油,79
記者,79
環保,79
kW,79
大陸,79
停車,79
車價,79
相對,78
後續,78
競爭,78
討論,77
設定,77
提升,77
iX,77
關鍵,77
Porsche,77
簡單,76
混合,76
專用,76
Volkswagen,76
公斤,76
調查,76
手機,76
特別,76
接受,76
明顯,76
造成,76
標準,75
方便,75
適合,75
執行長,75
環境,75
