system_id,artUrl,artCatagory,artTitle,artDate,artContent,dataSource
1,https://www.chinatimes.com/newspapers/20230401000305-260118,政治,外媒爆 蔡總統雷根圖書館演說恐生變,2023-04-01 04:10:00,蔡英文總統出訪中美洲友邦途中過境美國，美東時間3月30日晚間，在紐約受邀出席美國「哈德遜研究所」舉辦的晚會，並獲頒「全球領導力獎」。未料，原本傳出將到場的前國務卿蓬佩奧意外未出席，昨晚又有外媒報導指，由於美方不想給北京有過度反應的藉口，蔡總統回程停留洛杉磯時，預定在雷根圖書館的演說行程遭取消。對此，總統府副祕書長張惇涵回應，媒體報導蔡總統過境洛杉磯諸如演講等之活動皆屬臆測，總統過境洛杉磯行程持續縝密安排中，基於雙方默契與互信，在定案後將與各界說明。蔡英文3月29日啟程出訪友邦，去程及回程分別過境紐約及洛杉磯。「全球領導力獎晚會」與會者包括一向挺台的傳統基金會創辦人佛訥、國務院前中國政策顧問余茂春等，共100多位學者及政要，余茂春說，他認識的很多人都沒來。活動舉辦的巴克萊洲際酒店大門外則是再度聚集大陸旅美社團，高舉五星旗和標語抗議，哈德遜研究所所長瓦特斯和與會學者臨時改由側門避開群眾，一路陪伴蔡英文步入2樓會場。佛訥會前受訪表示，美國堅信言論自由，但糟糕的是，世界上很多人想阻止他人頌揚民主自由，尤其是針對台灣。媒體詢問隨行出訪的張惇涵，蓬佩奧為何沒出席？他說，名單都是主辦單位邀請，他不便幫他們做任何說明。媒體追問，是否有單獨會晤？他說「目前沒有會晤規畫」。媒體再問，是否有通話？他則回，基於台美雙方默契，會適時跟各界報告。蔡英文在現場發表演說表示，哈德遜研究所的獎項實際上是向台灣人民致意，縱使面對艱鉅挑戰，台灣人民依然展現堅毅韌性。瓦特斯則說明頒獎給蔡英文的原因，稱讚蔡以極大的勇氣和明確的決心，領導一個充滿活力的民主國家，抵抗暴政並維護自由開放的印太地區。蔡英文指出，中國刻意升高緊張情勢，但台灣總是謹慎並冷靜地回應，讓世界看到台灣在兩岸關係中是負責任的那一方。台灣人民期盼和平，但「歷史告訴我們最佳的避戰方法就是讓自己更有實力」。她也向國際喊話，強調「如此不公義的情況不能再繼續下去」，台灣需要其他民主國家的支持，呼籲大家「協助我們參與國際組織」。,chinatimes
2,https://www.chinatimes.com/newspapers/20230401000311-260118,政治,挺侯聯盟第1波 10藍委籲黨中央速徵召,2023-04-01 04:10:00,國民黨2024總統大選將以徵召方式決定人選，黨中央雖已積極展開徵詢，但目前黨內最強母雞就是新北市長侯友宜，不只基層期盼早日完成徵召，立法院國民黨團齊具名表態力挺侯，第1波名單包括總召曾銘宗、林為洲、陳雪生、鄭麗文、李德維、呂玉玲、賴士葆、吳怡玎與費鴻泰等10人，站出來喊話黨中央，應盡速徵召侯參選2024總統大選。繼身兼國民黨彰化縣黨部主委的立委謝衣鳯日前公開喊話黨中央提名「最強母雞」新北市長侯友宜後，國民黨團成員也開始積極串聯，據了解，黨內超過9成以上立委都挺侯，目前第一波由曾銘宗領銜的立委，加上謝衣鳯，已有10人公開表態。2024年總統選舉的國民黨人選，日前黨主席朱立倫雖定調「徵召不初選」，但目前仍停留在徵詢階段。不過，朱也強調，黨中央必須要考量主要候選人的主客觀環境，也會配合主要候選人的整體戰略布局，同時，侯友宜對2024的態度轉變為「共同承擔、義無反顧」，時程一切尊重黨中央安排，雙方說法與步驟逐漸合拍。但相較於民進黨早已定賴清德於一尊態勢，基層和黨內仍感到焦慮，近來侯友宜民調走弱，甚至出現「疑侯論」，眼見黨中央仍態度消極，也迫使黨內公職決定站出來，公開呼籲要盡速徵召侯友宜。先前謝衣鳯以國民黨彰化縣黨部主委身分，表示「我認為侯友宜市長是國民黨最強的母雞，我們全力支持」，開出第一槍後，國民黨團也將展開行動。第一波具名公開挺侯的立委包括，曾銘宗、林為洲、陳雪生、鄭麗文、李德維、呂玉玲、賴士葆、吳怡玎與費鴻泰，加上謝衣鳯，已達10人。本報記者也針對此份名單進行確認，得到黨團成員證實。曾銘宗表示，侯友宜在新北做過8年副市長、4年的市長，在去年九合一大選更大贏對手近46萬票，行政經驗與政績都取得400萬新北民眾的肯定，侯友宜做事踏實，也是黨內最大的母雞，所以國民黨多數立委皆支持他，盼他能勇於承擔，為國家與社會做出更大貢獻。,chinatimes
3,https://www.chinatimes.com/newspapers/20230401000315-260118,政治,徐弘庭斥黨員投票水很深 宣布退選,2023-04-01 04:10:00,國民黨立委初選內鬥不斷，台北市第8選區（中正、文山）初選方式採37制，原本有意投入初選的北市議員徐弘庭昨宣布退選，並痛斥「不會陪演，黨員投票水很深」；第4選區（內湖、南港）也將由甫回鍋議員的李彥秀對上議員游淑慧；由現任議員劉哲彰挑戰現任立委羅明才的新北市第11選區（大新店），昨也協調破局，將送市黨部提名小組決議。徐弘庭曾明確表達希望初選採全民調，最後市黨部還是投票決議將黨員投票納入初選評估，讓徐痛批「黨員投票的水有多深，有多少貓膩，只有經歷過的人才知道。」徐弘庭灰心喊，跟他4年前爭取初選是一樣的導演、劇本，但這次他不會再花錢做演員；之後會不會放下紛爭，力挺立委賴士葆連任，徐說自己願意為所相信的價值奮鬥，但跟他價值觀不一樣的人，會再考慮是否支持。北市黨部主委黃呂錦茹則表示，黨綱內明定初選是37制，但第11屆立委選舉作業要點又提供全民調選項，若要徹底解決初選方式紛爭，可能要黨中央修改黨綱，她也會持續跟黨中央建議。另即將於4月17起開放領表登記的第4選區，原只有游淑慧表態參選，沒想到昨天殺出程咬金，李彥秀宣布回鍋參選，游質疑李為求買保險，先爭取議員、後謀求立委，並說曾多次詢問李是否參選2024，都得到否定答案，對此李彥秀則回應，尊重游淑慧的看法，「但李彥秀是國民黨最強的候選人。」新北市第11選區同樣出現內鬥局面，新北市黨部昨找登記初選的劉哲彰及羅明才協調未果，據了解，雙方雖有共識採全民調，但在民調公司及時程規畫未統一，國民黨新北市黨部主委黃志雄表示，將送市黨部提名小組最後決議。,chinatimes
4,https://www.chinatimes.com/newspapers/20230401000317-260118,政治,曾銘宗：侯目前民調是地板 表態後會上升,2023-04-01 04:10:00,曾多次準確預測台灣選舉結果的日本學者小笠原欣幸，日前評價國民黨潛在候選人、新北市長侯友宜民調下探，但若國民黨正式提名侯友宜，他的支持率可能會再上升。國民黨立委曾銘宗昨天直言，侯友宜尚未表態，目前的民調他認為可能是「地板」，相信待表態之後會往上成長。小笠原欣幸日前指台灣2024總統民調，3名潛在候選人侯友宜、賴清德與柯文哲當中，賴扭轉民進黨敗選頹勢，支持度較穩固，而侯在參選問題上採保守發言，缺乏兩岸論述，讓部分支持者感到不耐，但若國民黨正式提名侯，侯的支持率可能再次上升。曾銘宗表示，賴清德因為有深綠、泛綠的支持，支持度一直維持在3成左右，但這是目前表態的結果，是不是賴清德的「天花板」，還有待進一步觀察；不可否認的是，民進黨的強項就是選舉、騙選票，所以賴清德的民調有可能再往上成長。曾銘宗指出，侯友宜是現在國民黨的「最強母雞」，但侯友宜還沒有表態，所以侯友宜現在3成左右的民調，但這可能只是侯友宜的「地板」，若侯友宜表態，相信支持度會再往上成長，至於成長後能不能維持或再往上，這還有待進一步觀察。,chinatimes
5,https://www.chinatimes.com/newspapers/20230401000319-260118,政治,郝龍斌支持徵召 籲朱立倫公開說不選總統,2023-04-01 04:10:00,國民黨中央日前拍板以徵召方式提名2024總統參選人，但提名辦法、時程遲未公布，黨內憂心持續拖下去對選情不利，前國民黨副主席郝龍斌說，他支持徵召的方式，還建議若徵召過程有爭議，黨中央應第一時間說清楚，還建議朱立倫公開說沒打算要選總統，去除不必要的傳言。對於國民黨的不分區立委名單，應該優先考慮曾經擔任過立委的人。郝龍斌昨在廣播節目接受訪問時對2024總統人選表態，他支持徵召的方式，若要贏得大選，總統提名要盡量減少爭議，問題是如何徵召，又如何得到主要人選的認同與支持，讓社會覺得國民黨徵召的是最強人選，這是要努力的方向，在過程中萬一出現爭議，黨中央絕對不能模糊，第一時間要站出來，清楚說明。郝龍斌指出，朱立倫曾說不用將自己放入總統民調中，他認為朱立倫已經放下，但既然放下就應講清楚，如果朱能夠公開的對外說沒打算要參選總統，相信就能去除不必要的傳言，至於為何不說？也許是有個人的考量，但他實在不了解是為什麼。郝龍斌認為，現在國民黨主要的總統人選，以及黨的支持度都在下降，可能跟之前南投選舉、選策會爭議有關，可是他不悲觀，如果真的能夠提出最強候選人，也能適時釐清外界傳言，展現出團結氣氛，民調仍會上升，尤其民進黨做得這麼差，若國民黨打不贏這仗，以後再也沒機會了。,chinatimes
6,https://www.chinatimes.com/newspapers/20230401000321-260118,政治,學者分析 蔡英文麥卡錫會面可能有變數,2023-04-01 04:10:00,蔡英文總統（台北時間）3月31日上午接受華府保守派智庫哈德遜研究所贈予「全球領導力獎」，原本傳出美前國務卿蓬佩奧也會出席，但卻未現身，加上日前美國白宮取消蔡英文總統過境的簡報，意外狀況不斷。中山大學政治學研究所教授廖達琪指出，美國取消蔡英文總統簡報和蓬佩奧未出席，是一個訊號，未來與麥卡錫會談，可能不一定是面對面，會有一個折衷的方案。廖達琪分析，中國一連串的國際動作，反應比較強，美國也收到這樣的訊息，做了很多臨時的更動，這個節骨眼拜登總統意識到警訊也下車，沒有要往前衝。她判斷，甚至未來與麥卡錫會談，可能不一定是面對面，會有一個折衷的方案，例如可能是視訊方式，因為完全取消對美國來說也掛不住面子，並以麥卡錫代表國會，不是行政單位的人來解釋，就像前國會議長裴洛西來台的說法。廖達琪直言，蔡英文出訪對台灣的價值並沒有大突破，因為形勢比人強，可能有小突破但大方向沒有，出口轉內銷的效果有限，且值得檢討蔡出訪對台灣到底好不好，美國也在謹慎保守的評估，蔡英文原本的目的打了很大的折扣。前國安會副祕書長楊永明認為，拜登政府透過管控蔡英文總統訪美，對北京表態，希望能夠跟北京恢復對話和溝通，現階段中美關係已經降到谷底，如果進一步推台灣議題，會造成中美關係惡化，用這種低調的方式來做為籌碼，向北京表達想恢復對話。楊永明說，不確定北京對於麥卡錫和蔡英文見面會有什麼反應，但白宮國安會也挑明，不會有官員和蔡英文見面，感受到拜登政府刻意低調的作為，共和黨也因為已經安排麥卡錫與蔡見面，就不用再提高見面層級。文化大學廣告學系專任教授兼系主任鈕則勳表示，蔡英文訪美是在中美博弈的架構下，美國考量既想換取台灣對他們的忠心，也不希望太過挑釁中國大陸，希望在美中台三邊做平衡。,chinatimes
7,https://www.chinatimes.com/newspapers/20230401000323-260118,政治,陳建仁籲大陸勿挑釁,2023-04-01 04:10:00,蔡英文總統率團出訪中美洲邦交國貝里斯及瓜地馬拉展開「民主夥伴共榮之旅」，並在下周於美國加州會晤眾議院議長麥卡錫，大陸放話會堅決回擊。行政院長陳建仁昨直言，台灣是民主國家，有權力走向世界，呼籲中國大陸不要藉端挑釁；美國國務院亞太助卿康達（Daniel Kritenbrink）則強調，中國片面改變現狀的企圖不會迫使美方改變台灣總統過境待遇。陳建仁昨赴立法院進行施政方針及施政報告並備詢，他表示，台灣是一個民主的國家，我們有權利走向世界，跟世界上所有自由、民主的人士來做交流，這是大家所認知的，且是理所當然的事情，希望中國不要藉端挑釁。陳建仁呼籲，中國應該要減少單方面破壞和平穩定的現實，確保區域的安全，中國的威權擴張，實際上會造成不必要的困擾，所以在這裡再次呼籲，希望中國能夠減少藉端挑釁的作為。美國國務院亞太助卿康達昨重申，美方對台立場是基於《台灣關係法》、美中三公報與六項保證為指引的長期一中政策，反對片面改變現狀，也不支持台獨。,chinatimes
8,https://www.chinatimes.com/newspapers/20230401000325-260118,政治,陳玉珍酸陳建仁：你是哪國的行政院長,2023-04-01 04:10:00,前總統馬英九赴陸祭祖，3月30日會見國台辦主任宋濤時，重申「九二共識」，卻遭行政院長陳建仁批評，大陸已定調九二共識就是「一個中國，一國兩制」，還說，台灣人民不能接受。對此，國民黨立委陳玉珍批評，馬總統強調「一中各表」，不知道為何陳建仁還不斷認為九二共識是中國領導人習近平所說的「一個中國」，到底陳建仁是哪國的行政院長？馬英九在與宋濤談話過程中，5度提及「九二共識」，強調有了「九二共識」，兩岸才能擱置爭議，共創雙贏，共同追求和平發展；陳玉珍認為，馬總統沒有失言，在跟宋濤會面的過程，馬英九對九二共識做了特別的詮釋。陳玉珍說，「一中各表」我們認為「一中」是中華民國、大陸認為「一中」是中華人民共和國，馬英九在大陸官員面前說出完整一段，陳建仁受訪還一直說九二共識是習近平所說的一個中國。陳玉珍痛批，明明馬總統已經這樣說，為什麼陳建仁一直要去聽習近平的見解，不聽馬英九的，到底陳建仁是哪國的行政院長？我們的行政院長怎麼不認同前元首所說的話，民進黨為了選舉已經讓她無言以對。國民黨立委李德維表示，九二共識就是兩岸互不承認主權、互不否定治權，雙方基於這個原則能夠繼續交流下去，才能製造和平契機，民進黨一直要附和中國大陸說法，沒有什麼意義。國民黨立院總召曾銘宗表示，馬英九訪大陸，一定會捍衛中華民國該有的價值和地位，相信也會為全民爭取相關的權益；他強調，馬英九一定會捍衛中華民國主權和中華民國自由民主制度。,chinatimes
9,https://www.chinatimes.com/newspapers/20230401000327-260118,政治,新聞透視》和平避戰 台美中三方謹慎互動,2023-04-01 04:10:00,去年8月美國眾議院議長裴洛西訪台，引發的中共圍台軍演，讓台海兵凶戰危，如今蔡英文總統出訪過境美國，可能將再次與新任美國眾議長麥卡錫碰面，不同的是，美中台三方記取去年8月的經驗，謹慎拿捏互動，避戰、和平，成為三方最大交集。如果說2020年1月的總統大選，是2019年「習五條」對台講話加上香港反送中運動，造就蔡英文高票當選；那麼2022年11月九合一選舉綠營大敗，則是俄烏戰爭加上解放軍圍台軍演所致。台灣的主流民意從抗中保台，轉為和平避戰。這樣的結果，對三方都有深刻啟示。美國開始更認真推演中共對台動武可能，各種武統時間預測甚囂塵上，炸毀台積電、撤離工程師等「毀台」極端設想，背後反映赤裸裸的美國國家利益。同時美國也盼望與中共確保溝通管道順暢，做好危機管控，最近罕見出現白宮多次表態拜登想要與習近平通話，但北京冷對。中共也做出調整。去年九合一大選後，大陸對台改變宣傳口徑，反覆強調「四要」（要和平、發展、交流、合作）才是台灣民眾心聲；兩岸民間交流也是在今年按下重啟和加速鍵，在海空航點開放、基層交流及台灣政治人物登陸皆全面啟動，雙方都盼能迎來「春暖花開」。在這時空背景下，蔡英文踏上外交畢業旅行，往返都安排過境美國。但有了去年8月的經驗，台美都忌憚若「玩太大」將過度刺激中共，所以雙方有默契地保持低調。台灣官方版行程，對過境美國隻字未提，美國則多次表示蔡過境符合美國一中政策，且早有前例，強調不算正式訪問，屬於「私人且非官方性質」，日前還臨時取消對媒體的簡報會。值得一提的是，今年2月國民黨副主席夏立言訪陸，參與該次訪問的兩岸關係學者趙春山私下表示，此行固然受到高規格接待，但讓他最有成就感的，其實是《環球時報》2月21日刊登了對他的長篇專訪，標題為〈讓戰爭遠離兩岸中國人居住的土地〉。《環球時報》作為大陸鷹派指標性媒體，用近乎全版篇幅刊載台灣學者觀點，標題沒有喊打喊殺，而是強調遠離戰爭，顯見對岸要傳遞的和平訴求有多強烈。,chinatimes
10,https://www.chinatimes.com/newspapers/20230401000331-260118,政治,太久沒選忘了台語 在野批蔡騙選票第一,2023-04-01 04:10:00,蔡英文總統過境美國紐約，29日晚間出席僑宴，一開始先以台語致詞，不過說得非常「不輪轉」，還一度忘記怎麼說而卡頓，她自嘲說，因為選舉是很久以前的事，所以台灣話差不多都忘了，「下面我就用華語講」。國民黨立院總召曾銘宗大酸，民進黨包含蔡總統選舉最厲害，連講台語都成為她的工具，騙選票第一。蔡英文出席僑宴晚會致詞時說，因為離選舉有一段時間，所以台語忘了差不多，遭在野黨質疑，難道總統勤練台語，只是為了選票？曾銘宗批評，連講台語都有特定目的，可見一般，如果連講話都這樣，那施政和作為不就都是整體策略考量，民進黨騙選票第一，滿腦子都在想怎麼騙，而不是考慮全民利益。蔡英文30日出席友邦駐聯合國常任代表酒會，包括馬紹爾群島等13個我友邦駐聯合國常代及代表，及馬爾他等非友邦、但理念相近國家，還有美國在台協會主席羅森柏格都出席，雖然宏都拉斯日前宣布與我斷交改與大陸建交，不過與會友邦都表達會持續支持台灣。,chinatimes
