artTitle,artContent,artCatagory
MLB／大谷轟釀酒人已是第20隊 只剩國聯這9隊還未遭殃,大聯盟本季推出新賽制，各隊必須對戰兩聯盟29支敵隊，「大谷旋風」有機會橫掃全美，天使隊這次作客密爾瓦基就是例子，大谷翔平今天3局上轟出陽春砲，本季第7轟、生涯第134轟出爐，釀酒人隊也成為他第20支開轟的球隊，現場33557名球迷見證大谷怪力。大谷過去5個球季從未對過釀酒人，兩隊今年唯一3連戰在密爾瓦基米勒球場（Miller Park）進行，大谷前兩戰9打數4安打，今天3支1、1分打點，幫助天使3：0獲勝，逃過3連戰遭橫掃命運，生涯對戰打擊率4成17。2018年轉戰大聯盟至今，大谷以打者身分出賽594場，已和28支球隊交手，只剩小熊隊還未碰面，6月7到9日將在洛杉磯主場碰面，又有機會追加開轟球隊。大谷生涯134轟紀錄，交手最頻繁的美聯西區球隊，全壘打產量當然最多，運動家隊18轟排名第1，水手、遊騎兵隊都是14轟，太空人隊也有10轟，至於不同區球隊則以白襪、老虎隊9轟最多。釀酒人今天成為大谷第20個受害者，米勒球場是他第16座開轟的大聯盟球場，產量最多的天使主場已有80轟紀錄。再來看看大谷已經對戰，但還未開轟的球隊，包括紅人、國民、費城人、海盜、紅雀、巨人、馬林魚、響尾蛇隊，都是國聯球隊，在各隊徹底對戰的新賽制下，未來更有機會締造「完全開轟」紀錄。歷年亞洲球員在大聯盟完成百轟只有4人，秋信守218轟排名第1，接著是松井秀喜175轟、大谷134轟、鈴木一朗117轟。,運動
NBA／三分球失準宛如昔日火箭 塞爾蒂克搶七陷危機,在0勝3敗後力爭上游的塞爾蒂克，靠著懷特（Derrick White）的驚天絕殺秀硬是將戰局拉到搶七大戰，而且還是回到自家主場進行，頂著隊史主場搶七22勝5敗的絕對優勢，綠衫軍看起來是有機會創造「讓三追四」的空前成就。不過塞爾蒂克第7戰開打後依然面臨到三分外線失準的巨大問題，一開始就12投0中，直到第二節才開胡，讓人不禁聯想到2018年西區冠軍賽第7戰火箭連續失手27顆三分球的悲劇。總計上半場，塞爾蒂克三分球21投僅4中，對比熱火16投8中，成了比賽差距的分野。而從第6戰後三節到第7戰的上半場，塞爾蒂克在5節比賽中，三分球累積43投6中，命中率僅13.9%。 ▪ 2023東區季後賽 賽程與比分表 ▪ 2023西區季後賽 賽程與比分表                     前一場比賽結束後誓言終結綠衫軍的熱火當家球星巴特勒（Jimmy Butler），再度實現自己的自信言論，他在搶七大戰中，28投12中攻下28分7籃板6助攻3抄截，帶領球隊一舉摧毀對手，把一場生死戰打入                                      從賽季前不被看好到一路挺進總冠軍賽，熱火昨天不僅成為NBA第2支以分區第八種子闖進總冠軍賽的球隊，更是史上首支從附加賽一...                                      去年東區冠軍賽對塞爾蒂克隊搶七大戰，錯失一記關鍵三分球讓球隊無緣晉級，「士官長」巴特勒昨天成功領軍復仇，全場進帳28分、...                                      在東區冠軍賽先是3連勝聽牌的熱火，之後面臨到塞爾蒂克的強力挑戰，連續吞下3敗，戰線延長到搶七生死戰。儘管從數據統計來看，客場作戰的熱火幾乎都處於劣勢之中，甚至外界也不完全看好他們能在搶七勝出，                                      邁阿密熱火今天在東區冠軍賽第7戰打爆塞爾提克，順利闖進總冠軍賽。系列賽平均可攻下19.3分的馬丁，是熱火的隱形功臣，而他...                                      根據最新消息，76人在炒掉瑞佛斯（Doc Rivers）之後，很快已經敲定了接任人選，同被暴龍解雇的諾斯（Nick Nurse）將會轉戰費城，成為新任總教練。2018-19年開始執教暴龍的諾斯                  ,運動
NBA／連三戰30分助76人聽牌 安比德緊追艾佛森、張伯倫,在系列賽前4戰打完與塞爾蒂克隊戰成平手後，76人隊今天作客綠衫軍主場，安比德（Joel Embiid）、馬克西（Tyrese Maxey）分別攻下33分、30分，以115：103取得系列賽聽牌優勢，安比德更是季後賽連續3場得分上30分，在隊史中僅次於今天將抵台的艾佛森（Allen Iverson）以及傳奇球星張伯倫（Wilt Chamberlain）。76人今天第5戰展現多點開花的攻勢，不僅安比德、馬克西火力全開，哈登（James Harden）與哈里斯（Tobias Harris）也分別有17分、10助攻、8籃板與16分、11籃板進帳，至於替補上陣的豪斯（Danuel House Jr.）也拿下10分，成為76人奇兵。本場比賽也是安比德連續3場比賽得分上看30分，不僅創下個人季後賽生涯新高，在76人隊史中也僅有張伯倫連續4場，以及今天將展開訪台行程的「戰神」艾佛森連續5場超越安比德，至於安比德季後賽生涯累積18場得分30分，則是追上「J博士」（Julius Erving）並列史上第2名，僅次於艾佛森的33次。談到安比德的火熱表現，馬克思賽後說：「他過去兩年專注於打出MVP級別的表現，並統治比賽。但從今年開始，我發現他的領袖能力也不斷在進步，他以身作則帶領我們贏球，身為球隊最好的球員都那麼努力，你就必須要跟緊他。」安比德對於幫助球隊取得聽牌優勢，強調目前只專注在下一場比賽，「老實說我不關心現在是幾比幾，我們還需要拿下一場勝利，這是我全神貫注想的東西。」 ▪ 2023東區季後賽 賽程與比分表 ▪ 2023西區季後賽 賽程與比分表                     「魔獸」霍華德才剛邀莫蘭特（Ja Morant）加盟台灣職籃，沒想到稍早又呼籲眾NBA球星來台發展。包含即將成為自由球員的老戰友哈登（James Harden）。哈登今年夏天將成為自由球員，外                                      前三節17投僅5中的穆雷（Jamal Murray），在第四節終於找回準星，個人單節轟進4記三分球獨拿23分，加上波特（Michael Porter Jr.）和布朗（Bruce Brown）外線同時狙                                      灰熊隊當家球星莫蘭特（Ja Morant）日前再度因「直播亮槍」惹上麻煩，灰熊球團第一時間站暫停他所有球隊活動，聯盟也展開調查。目前人還待在台灣的「魔獸」霍華德（Dwight Howard）則伸出橄欖                                      第六戰回到自家主場的湖人，自開賽在攻守兩端就全面壓制勇士，整場比賽幾乎一路領先領先兩位數分差，打到第四節更將差距擴大到超過20分，也讓這場關鍵戰役早早分出勝負。湖人最終以122比101大勝勇士                                      衛冕軍勇士隊陷入輸球就淘汰的絕對劣勢，今天第5戰回到主場火力全開，上半場就飆進11記三分彈，在當家球星柯瑞（Stephe...                                      window.location.href=https://tw-nba.udn.com/nba/play_by_play/ab138a63-2b02-48cc-bd2a-73a7c9782f5f;                  ,運動
NBA／76人教頭次輪聽牌後已8連敗 生涯關門戰32敗史上最慘,76人隊今天以86：95敗給塞爾蒂克隊，雖然還未遭到淘汰，但對最不會在第二輪關門的教頭瑞佛斯（Doc Rivers）來說，已然是天大的壞消息。近年來，瑞佛斯執教的球隊多次與分區冠軍賽相距一場之遙，但每次都被拒於門外。起點是2015年，當年還是「空接之城」的快艇隊在第二輪以3：1領先火箭隊，卻出乎意料地吞下3連敗出局。快艇在之後迎來雷納德（Kawhi Leonard）與喬治（Paul George）雙星，功敗垂成的宿命卻未隨之翻新，2020年於泡泡園區第二輪對上金塊隊時，又是3：1領先下被逆轉，3場關門戰全敗；2021年瑞佛斯轉任76人教頭，扔甩不開詛咒，第二輪在搶七大戰輸球，慘遭老鷹隊下剋上；再加上今天，瑞佛斯二輪關門戰已是淒慘的8連敗。事實上，對執教資歷悠久的瑞佛斯而言，整個職涯可說都壟罩在欠缺臨門一腳的陰影！根據《ClutchPoints》，瑞佛斯生涯季後賽聽牌後的關門戰績為17勝32負，勝率只有35%，吞敗數更是在至少有15次關門機會的NBA教頭中最多。76人今天主場關門失敗，雖然第七戰還有一次機會，但考量到是客場作戰、「總教練魔咒」等因素，安比德仍否踏上夢寐以求的分區冠軍賽地板，仍有巨大考驗。Doc Rivers is now 17-32 all-time with an opportunity to close out a playoff series (min. 15 games).The 32 losses are the most by any coach in NBA history ? pic.twitter.com/oiROlQzOUu ▪ 2023東區季後賽 賽程與比分表 ▪ 2023西區季後賽 賽程與比分表 76人塞爾蒂克                    「魔獸」霍華德才剛邀莫蘭特（Ja Morant）加盟台灣職籃，沒想到稍早又呼籲眾NBA球星來台發展。包含即將成為自由球員的老戰友哈登（James Harden）。哈登今年夏天將成為自由球員，外                                      前三節17投僅5中的穆雷（Jamal Murray），在第四節終於找回準星，個人單節轟進4記三分球獨拿23分，加上波特（Michael Porter Jr.）和布朗（Bruce Brown）外線同時狙                                      灰熊隊當家球星莫蘭特（Ja Morant）日前再度因「直播亮槍」惹上麻煩，灰熊球團第一時間站暫停他所有球隊活動，聯盟也展開調查。目前人還待在台灣的「魔獸」霍華德（Dwight Howard）則伸出橄欖                                      第六戰回到自家主場的湖人，自開賽在攻守兩端就全面壓制勇士，整場比賽幾乎一路領先領先兩位數分差，打到第四節更將差距擴大到超過20分，也讓這場關鍵戰役早早分出勝負。湖人最終以122比101大勝勇士                                      約柯奇（Nikola Jokic）今天攻下34分21籃板14助攻，率領金塊西區冠軍賽首戰擊敗湖人。不過湖人也有收穫，他們在末節派出八村壘（Rui Hachimura）主防約柯奇，只被得到3分。                                      西區冠軍賽今天正式在金塊主場展開，湖人先發陣容做出調整，將施羅德（Dennis Schroder）調上先發，變陣效果顯然不佳，金塊下半場一度領先21分，不過湖人第三節末段展開反攻，加上末節限制約柯奇（                  ,運動
NBA／熱火淘汰尼克挺進東冠 史上第2支第8種子球隊,"第六戰回到邁阿密，尋求在自家終結系列賽的熱火，靠著第四節中一波關鍵8比0攻勢，加上強悍的防守壓制對手反撲，最終仍是以96比92驚險過關，以4勝2敗淘汰尼克，挺進東區冠軍賽。這是熱火隊史第10次闖進分區冠軍賽，也是4年之內3度打進東區冠軍賽；更難能可貴的是，熱火成為1999年的尼克之後，史上第2支勇闖東區冠軍賽的第8種子球隊。巴特勒（Jimmy Butler）此役雖然22投僅7中，手感並不理想，仍靠著11罰10中的優勢，拿到24分8籃板4助攻；阿德巴約（Bam Adebayo）獲得23分9籃板2抄截，史特魯斯14分6籃板3助攻，老將羅瑞替補貢獻11分9助攻4籃板3抄截。The @MiamiHEAT win Game 6 and advance to the Eastern Conference Finals ?Jimmy: 24 PTS, 8 REB, 4 ASTBam: 23 PTS, 9 REB#NBAPlayoffs presented by @GooglePixel_US pic.twitter.com/OXiMgNkEoU在這場低比分大戰中，雙方一路糾纏到第四節。熱火一波攻勢取得85比76領先，但尼克依然緊咬比分。最後時刻，布朗森（Jalen Brunson）因遭惡意犯規，把握兩罰機會，並且又獲得球權，他也送出一記助攻讓哈特（Josh Hart）放進兩分，尼克一下子追到兩分差。巴特勒跳投未中，然而布朗森在被包夾情況下出現要命失誤，反而讓巴特勒穩穩罰進兩分；隨著葛萊姆斯（Quentin Grimes）三分出手籃外空心，尼克也失去最後反撲機會布朗森此戰22投14中包括5記三分球，攻下41分4籃板3助攻，追平個人記後賽單場得分紀錄；藍道（Julius Randle）15分11藍板3助攻2阻攻，巴瑞特（RJ Barrett）11分，兩人合計24投僅4中，難以提供布朗森更多支援。熱火將等待塞爾蒂克與76人的勝隊，爭取自2020年再度重返總冠軍賽。 ▪ 2023東區季後賽 賽程與比分表 ▪ 2023西區季後賽 賽程與比分表                     「魔獸」霍華德才剛邀莫蘭特（Ja Morant）加盟台灣職籃，沒想到稍早又呼籲眾NBA球星來台發展。包含即將成為自由球員的老戰友哈登（James Harden）。哈登今年夏天將成為自由球員，外                                      前三節17投僅5中的穆雷（Jamal Murray），在第四節終於找回準星，個人單節轟進4記三分球獨拿23分，加上波特（Michael Porter Jr.）和布朗（Bruce Brown）外線同時狙                                      灰熊隊當家球星莫蘭特（Ja Morant）日前再度因「直播亮槍」惹上麻煩，灰熊球團第一時間站暫停他所有球隊活動，聯盟也展開調查。目前人還待在台灣的「魔獸」霍華德（Dwight Howard）則伸出橄欖                                      第六戰回到自家主場的湖人，自開賽在攻守兩端就全面壓制勇士，整場比賽幾乎一路領先領先兩位數分差，打到第四節更將差距擴大到超過20分，也讓這場關鍵戰役早早分出勝負。湖人最終以122比101大勝勇士                                      約柯奇（Nikola Jokic）今天攻下34分21籃板14助攻，率領金塊西區冠軍賽首戰擊敗湖人。不過湖人也有收穫，他們在末節派出八村壘（Rui Hachimura）主防約柯奇，只被得到3分。                                      西區冠軍賽今天正式在金塊主場展開，湖人先發陣容做出調整，將施羅德（Dennis Schroder）調上先發，變陣效果顯然不佳，金塊下半場一度領先21分，不過湖人第三節末段展開反攻，加上末節限制約柯奇（                  ",運動
小資光芒、金鶯雄踞美東 邪惡洋基快沒戲唱了,今年大聯盟球季已經進行了約三分之一，哪些球隊有機會衝擊季後賽、哪些球隊可能早早進入練兵模式，也可以看出一定的端倪了。而其中最讓人意外的，當屬位於競爭非常激烈的美聯東區的兩支小資球隊：坦帕灣光芒和巴爾的摩金鶯，不僅僅技壓同區的豪門紐約洋基、多倫多藍鳥和波士頓紅襪，戰績甚至在全聯盟分別名列第一和第三。這兩支團隊薪資在全聯盟幾乎墊底的球隊（光芒團隊薪資約6295萬美元，聯盟第25名；金鶯團隊薪資約5370萬美元，聯盟第28名，只比辛辛那堤紅人和奧克蘭運動家高），是如何打造出「CP值超高」的常勝軍團？ 丹尼爾／製表光芒從開季拉出平聯盟紀錄的十三連勝以來，排名就一直佔據全聯盟第一，到5/30為止，戰績39勝17敗，領先同區二名的金鶯4場勝差。向來口袋不深的光芒，深黯無法與大市場球隊比拼財力，只能靠著「從砂礫中找珍珠」，和其他非傳統的方式，找到自己的競爭優勢。大量運用「假先發」策略、避免讓投手面對第三輪的進攻、對各項進階數據有絕佳的掌握，讓光芒在「美東火藥庫」闖出一片天。自2019年球季，光芒連續四年闖進季後賽，還在2020年一路過關進入世界大賽，與國聯西區強權洛杉磯道奇在世界大賽碰頭。雖然最後敗下陣來，但能以一票名不見經傳的蝦兵蟹將打出這樣的成績，且幾乎年年維持高檔戰力，已證實光芒的經營團隊，很有一套。光芒對年輕球員的培養是相當有一套，陣中沒有大牌球星，但本季打出的團隊戰力卻是常常碾壓對手。 美聯社相較於長年維持競爭力的光芒，今年目前以34勝20敗暫居美東老二的金鶯走的是一條完全不一樣的道路。從2017年到2021年，沒有任何一支大聯盟球隊比金鶯更爛。五個球季總計253勝、455敗，勝率僅有0.357，除了2020年的縮水球季外，年年都在分區墊底。其實金鶯的長期「擺爛」，是在總管艾里亞斯（Mike Elias）的計畫之中。他自2018年底接任金鶯總管以來，就複製過去任職於休士頓太空人時的「坦到底」策略，先以殘缺不全的陣容打個幾年，故意留下差勁的戰績，以「賺到」多個前段選秀順位。等到選進來的頂級新秀經過幾年養成，再開始打造一支足以衝擊季後賽的球隊。經驗證實，這個手法相當有用，太空人在2011到2014年的黑暗期過後，成為年年打季後賽的強隊，還兩度奪冠。而金鶯也從去年球季開始，開始擺脫過去被各隊當成沙包來打的慘況。去年五月下旬，2019年的選秀狀元、強打捕手拉契曼（Adley Rutschman）被升上大聯盟，自此之後，金鶯開始展翅高飛：在拉契曼登上大聯盟前，金鶯當年戰績是與過去「擺爛」時期不相上下的16勝24敗，而拉契曼加入後，成績大幅翻轉，2022球季剩下的比賽，金鶯戰績是67勝55敗，甚至一度有爭搶季後賽資格的機會。這樣的成績，已經超前了總管艾里亞斯預想的，還需至少一年才能展現競爭力的球隊時間表。拉契曼是金鶯自家培養出來的強打捕手，有很好的長打與選球能力，目前打出8轟，獲得41次保送是高居全聯盟第一。 美聯社拉契曼之外，金鶯農場體系培養出的幾位打擊好手，如外野手穆林斯（Cedric Mullins）、海斯（Austin Hays）、桑坦德（Anthony Santander），和已經揮出11轟的一壘手蒙卡索（Ryan Mountcastle），也逐漸成長為球隊的核心，提供穩定的火力輸出和水準以上的防守。以上這些主力球員，大聯盟年資都在六年以內，尚不符自由球員資格，可說是最「物美價廉」的時候。也因為如此，今年球季，金鶯以沒有任何球員薪資超過一千萬美元（最高薪的是今年才簽來的先發投手吉布森(Kyle Gibson)的一千萬美元）的陣容，打出比所有國聯球隊都好的成績，在美聯也僅僅以些微落後德州遊騎兵，排名第三，在美東緊追排名全聯盟第一的光芒。這樣的表現，遠遠超過權威預測網站《Fangraphs》在季前的預估。金鶯中外野手穆林斯目前也打出8轟，並且有13次盜壘成功，他若能持續進步，有機會發展成為美聯的最強開路先鋒。 美聯社《Fangraphs》在球季開打前認為，雖然年輕球員有所成長，但因為沒有在自由球員市場補強，金鶯今年進季後賽的機率只有十分之一左右，全年戰績也只會有75勝86敗，在美東分區墊底。雖然球季還很長，但至少到目前為止，金鶯的表現完全不像是一支爐主球隊，超乎預期的好成績，也讓批評老闆不願意花錢的金鶯球迷，暫時可以安靜下來。但金鶯的陣容也不是沒有弱點，現在的成績，也有一定的運氣成份。如果看更能反應實力的得失分差，金鶯目前的+29只能說是不差，而如果用目前的得失分來計算畢氏期望勝率（Pythagorean Winning Percentage），也會得出目前的34勝，比「應得」的30勝多出了四勝，顯示目前的成績確實有被好運氣加持。從陣容上來說，金鶯的投手表現過於仰賴牛棚，尤其是去年接下終結者角色的巴提斯塔（Félix Bautista）和異軍突起的29歲中繼投手卡諾（Yennier Canó）的優異表現，撐起了深度、廣度都較為薄弱的投手群。但後援投手隨時可能遭遇撞牆期，而論先發投手，超級新秀羅德里格茲（Grayson Rodriguez）、霍爾（DL Hall）看起來都還沒完全適應大聯盟的強度，還需時間在小聯盟磨練，目前只能靠著老將吉布森和素質平平的年輕投手威爾斯（Tyler Wells）、克雷莫（Dean Kremer）、布拉迪希（Kyle Bradish）撐場面。金鶯如果志在搶進季後賽，先發投手的補強應會是季中交易的重點項目。金鶯終結者巴提斯塔本季的三振能力變得更加恐怖，26局投球竟然飆出53次三振，平均每局要K掉2人！ 美聯社也因為光芒和金鶯加入競爭，美東五支球隊勝率都在五成以上，誰能夠搶進季後賽，可說是人人有機會，個個沒把握。過去六年都有季後賽可打的洋基，還有近年錢砸得比洋基更兇的藍鳥，一不小心就可能掉出競爭行列。球季剩下三分之二，「邪惡帝國」洋基，和傳統美東強權紅襪，會不會一一翻船，且讓我們看下去。,運動
NBA／不滿勇士多次被吹非法掩護 柯爾：湖人假摔得到回報,衛冕軍勇士西區季後賽第二輪面對湖人，陷入1：3落後困境，他們三節打完取得7分領先，第四節卻被打出27：17攻勢，慘遭逆轉。勇士主帥柯爾（Steve Kerr）對裁判哨音十分不滿，直言湖人多次透過假摔獲得回報。勇士前戰慘輸30分，罰球次數少20次引發球迷熱議，不過柯爾先前強調，球隊不是因為罰球而輸，要檢討自己的表現。柯爾今天受訪時談到輸球主因時卻表示，「我認為第四節華克（Lonnie Walker IV）挺身而出，加上我們被吹3、4次非法掩護，這令人很失望。我還沒看過回放，但有2個哨音讓人很失望。」「湖人是一支花招很多的球隊，他們了解如何造犯規，我覺得他們用假摔得到回報。我還要回去看重播，或許那些真的都是非法掩護，但比賽時的感覺不是這樣」柯爾說。 ▪ 2023東區季後賽 賽程與比分表 ▪ 2023西區季後賽 賽程與比分表                     季後賽西區第2輪的第4戰，洛杉磯湖人靠著華克（LonnieWalker）第四節砍進他整場全部得分的15分，以104比101擊敗金州勇士，系列賽取得3比1絕對優勢。                                      勇士隊今天三節打完領先7分，不過湖人小將華克（Lonnie Walker IV）末節殺出，反觀柯瑞（Stephen Curry）外線接連「打鐵」，最後一擊還發生失誤，儘管完成生涯季後賽第3次大三元，也                                      衛冕軍勇士西區季後賽第二輪面對湖人，陷入1：3落後困境，他們三節打完取得7分領先，第四節卻被打出27：17攻勢，慘遭逆轉。勇士主帥柯爾（Steve Kerr）對裁判哨音十分不滿，直言湖人多次透過假摔獲                                      巴特勒（Jimmy Butler）全場飆出27分10助攻6籃板2抄截2阻攻，阿德巴約（Bam Adebayo）也貢獻23分13籃板2助攻，熱火靠著強勢攻守表現一路壓制尼克，系列賽取得3比1聽牌優勢。                                      湖人小將華克（Lonnie Walker IV）今天末節爆發，成為隊史1997年布萊恩（Kobe Bryant）後，首位在末節攻下15分的替補球員。事實上華克在對陣灰熊的系列賽遭棄用，直到最近幾場才重                                      洛杉磯湖人今天在主場以104比101險勝金州勇士，取得系列賽3比1的領先優勢。根據統計，詹姆斯（LeBron James）生涯季後賽在「3比1」聽牌時，17次全都勝出，沒被逆轉過。                  ,運動
NBA／76人尋覓新主帥 前暴龍冠軍教頭諾斯將接掌,根據最新消息，76人在炒掉瑞佛斯（Doc Rivers）之後，很快已經敲定了接任人選，同被暴龍解雇的諾斯（Nick Nurse）將會轉戰費城，成為新任總教練。2018-19年開始執教暴龍的諾斯，首年就在雷納德（Kawhi Leonard）天降神兵的助拳之下，一路過關斬將，勇奪隊史首座總冠軍；第一年執教就成了冠軍教頭，諾斯隔年在沒有雷納德情況下，仍帶領暴龍拿下53勝19敗的成績，一舉獲選年度最佳總教練。可說是風光無限。不過就在這一年兵敗第二輪之後，暴龍戰力迅速跌落谷底，2020-21年賽季面臨陣容重整和傷兵成群的麻煩，單季僅拿到27勝45敗，雖然2021-22年賽季以東區第5名之姿重新回到季後賽，但首輪就敗給76人。今年賽季暴龍自開季就苦苦掙扎，好不容易在球季尾聲才把勝率拉回5成，勉強以東區第9名進入附加賽，首戰卻還是不敵公牛，直接淘汰出局。最終雙方決定提前一年結束合作關係。諾斯總計執教暴龍5年，戰績為227勝163敗，勝率58.2%。來到76人之後，諾斯首要面對的就是哈登（James Harden）續留與否的問題，以及如何在以新科MVP安比德（Joel Embiid）為中心的陣容調整和攻守體系建立。事實上，在離開暴龍之後，不少球隊都傳出有意延攬諾斯，他也積極進行面試，像是太陽就展現高度興趣，不過在歷經數天思考後，諾斯仍決定接受費城的邀約。 ▪ 2023東區季後賽 賽程與比分表 ▪ 2023西區季後賽 賽程與比分表                     前一場比賽結束後誓言終結綠衫軍的熱火當家球星巴特勒（Jimmy Butler），再度實現自己的自信言論，他在搶七大戰中，28投12中攻下28分7籃板6助攻3抄截，帶領球隊一舉摧毀對手，把一場生死戰打入                                      從賽季前不被看好到一路挺進總冠軍賽，熱火昨天不僅成為NBA第2支以分區第八種子闖進總冠軍賽的球隊，更是史上首支從附加賽一...                                      去年東區冠軍賽對塞爾蒂克隊搶七大戰，錯失一記關鍵三分球讓球隊無緣晉級，「士官長」巴特勒昨天成功領軍復仇，全場進帳28分、...                                      在東區冠軍賽先是3連勝聽牌的熱火，之後面臨到塞爾蒂克的強力挑戰，連續吞下3敗，戰線延長到搶七生死戰。儘管從數據統計來看，客場作戰的熱火幾乎都處於劣勢之中，甚至外界也不完全看好他們能在搶七勝出，                                      邁阿密熱火今天在東區冠軍賽第7戰打爆塞爾提克，順利闖進總冠軍賽。系列賽平均可攻下19.3分的馬丁，是熱火的隱形功臣，而他...                                      根據最新消息，76人在炒掉瑞佛斯（Doc Rivers）之後，很快已經敲定了接任人選，同被暴龍解雇的諾斯（Nick Nurse）將會轉戰費城，成為新任總教練。2018-19年開始執教暴龍的諾斯                  ,運動
MLB／體驗無情紐約！韋蘭德被打爆遭大都會球迷噓聲伺候,今天是韋蘭德（Justin Verlander）轉戰大都會後，首度在主場登板，不過他卻被光芒隊巴瑞德斯（Isaac Paredes）轟出2發全壘打，總計主投5局失6分，防禦率升至4.76，最終大都會以5：8不敵光芒。韋蘭德季初受傷，直到5月5日才歸隊面對老虎隊，他比賽開打前獲得老虎主場球迷掌聲，最終主投5局失2分吞敗。第二戰作客紅人主場，他繳出7局失1分好投，順利收下加盟大都會後首勝。今天比賽第三局，韋蘭德遭巴瑞德斯三分砲狙擊，4局上被貝騰柯特（Christian Bethancourt）敲出二壘安打後，再被拉米瑞茲（Harold Ramirez）敲安掉分，5局上巴瑞德斯又轟出兩分砲，現場球迷憤怒地發出噓聲。oh my god the Mets fans booing Verlander at the end of the inning pic.twitter.com/LMT8HLUm8c大都會休賽季重金補強，沒想到開季至今20勝23敗，國聯東區倒數第2。韋蘭德受訪時坦言球隊每個人都很沮喪，他也理解球迷的噓聲，「我希望變得更好。我認為全隊都希望變得更好，期盼今天能成為贏球的催化劑。對陣一支優秀的球隊，有好的開局才能獲勝，但我沒有做到這一點。」,運動
T1聯盟／跑轟三分雨擊垮獵鷹 特攻3比0聽牌,新北中信特攻今天在T1總冠軍賽作客台南台鋼獵鷹，全隊靠著跑轟戰術投進14記三分球，加上林韋翰貢獻20分、7助攻，終場以112比96擊敗獵鷹，系列賽取得3比0的聽牌優勢。T1職業籃球聯盟總冠軍賽第4戰將於21日下午2時繼續在獵鷹主場舉行，特攻很有機會連贏4場封王。賽前挾著2連勝的氣勢，特攻開賽後三分球砲火猛烈，首節全隊飆進8記三分球，球隊以38比29領先，半場結束靠著林韋翰的6記三分球、攻下20分的帶領下，取得66比52的雙位數領先。第3節獵鷹得分大當機，開局就被特攻打出一波14比0的攻勢，雙方差距擴大到20分以上，加上第3節尾聲獵鷹阿修羅（Robert Upshaw III）受傷退場，讓獵鷹失去反攻氣焰，只能看著特攻拿下3連勝。特攻團隊三分球32投14中，並且全場出現14次抄截，洋將金恩（Nicholas King）攻下26分、8籃板，艾德（Edgaras Zelionis）也有21分、13籃板進帳。反觀獵鷹團隊三分球44投僅11中，尤其是罰球全場32罰僅17中，等於浪費了15分。全隊以威樂斯的18分、14籃板最佳，中鋒布拉（Gursimran Bhullar）雖有身高優勢，但僅進帳12分、9籃板。特攻總教練李逸驊說：「首節我們就打出速度，命中率也高，也如我們所願的把對方大中鋒體力拖垮，加上我們這個系列賽三分球命中率幾乎都在4成以上，這就是我們獲勝的主因。」李逸驊也特別稱讚後衛林秉聖和中鋒曾文鼎，他說：「林秉聖對於對方後場的壓迫做得非常好，讓他們的後衛幾乎無法好好發動戰術，而曾文鼎的策應和傳球，加上籃下可以力扛對手的大中鋒，真的幫了我們很多忙。」獵鷹總教練劉孟竹說：「對手這場打得沒話說，我們做了針對性防守，但還是被破解，加上我們自己罰球和三分球命中率都太低，輸球沒話說。」,運動
